-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	423
-125	-120	6506
-120	-115	7403
-115	-110	9575
-110	-105	14043
-105	-100	21923
-100	-95	35053
-95	-90	54299
-90	-85	67194
-85	-80	81119
-80	-75	90263
-75	-70	89452
-70	-65	88150
-65	-60	83336
-60	-55	77391
-55	-50	70044
-50	-45	60696
-45	-40	49088
-40	-35	36107
-35	-30	23656
-30	-25	13535
-25	-20	7521
-20	-15	4229
-15	-10	2880
-10	-5	1661
-5	0	1009
0	5	780
5	10	597
10	15	598
15	20	342
20	25	238
25	30	159
30	35	100
35	40	66
40	45	47
45	50	44
50	55	14
55	60	11
60	65	8
65	70	8
70	75	2
75	80	3
80	85	3
85	90	0
90	95	1
95	100	1
100	105	2
105	110	2
110	115	2
115	120	1
120	125	2
125	130	1
130	135	1
135	140	2
140	145	1
145	150	1
150	155	3
155	160	0
160	165	0
165	170	1
170	175	0
175	180	0
180	185	1
185	190	0
190	195	0
195	200	0
200	205	0
205	210	0
210	215	0
215	220	0
220	225	0
225	230	1
230	235	1
235	240	0
240	245	0
245	250	0
