-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	132
-125	-120	2718
-120	-115	3384
-115	-110	4065
-110	-105	5287
-105	-100	6930
-100	-95	10334
-95	-90	16273
-90	-85	26703
-85	-80	41870
-80	-75	59762
-75	-70	72476
-70	-65	80821
-65	-60	83404
-60	-55	82912
-55	-50	80110
-50	-45	76781
-45	-40	72665
-40	-35	68435
-35	-30	59567
-30	-25	49290
-25	-20	37518
-20	-15	25206
-15	-10	14563
-10	-5	7572
-5	0	3682
0	5	1796
5	10	1145
10	15	856
15	20	604
20	25	441
25	30	333
30	35	259
35	40	201
40	45	134
45	50	197
50	55	207
55	60	148
60	65	110
65	70	208
70	75	227
75	80	35
80	85	45
85	90	11
90	95	5
95	100	1
100	105	7
105	110	5
110	115	0
115	120	4
120	125	3
125	130	2
130	135	3
135	140	4
140	145	2
145	150	1
150	155	0
155	160	0
160	165	2
165	170	1
170	175	1
175	180	3
180	185	2
185	190	1
190	195	0
195	200	1
200	205	1
205	210	1
210	215	1
215	220	0
220	225	0
225	230	0
230	235	0
235	240	0
240	245	1
245	250	0
